business_id,name,address,state,city,postal_code,categories,longitude,latitude,stars,is_open,N_reviews
_-qMwuEFcz_karr9xRxKYw,Ashes Cigars,4453 Main St,PA,Philadelphia,19127,"Hookah Bars, Bars, Lounges, Tobacco Shops, Shopping, Nightlife",-75.22654,40.026891,4.5,0,16
_3NZVCWeyFZ1_vWqi2avjw,Nick's Old Original Roast Beef,2149 S 20th St,PA,Philadelphia,19145,"Bars, Sandwiches, Dive Bars, Nightlife, Restaurants",-75.1793069,39.9244658,4.5,1,263
_5YKKrnxZ60H_VqtX3k-jw,Philly Pub 'n Grub,2001 Hamilton St,PA,Philadelphia,19130,"Cheesesteaks, American (New), Burgers, Pubs, Nightlife, Restaurants, Chicken Wings, Sports Bars, Bars",-75.172451,39.963,2.5,0,44
_88ao0DzRuxYjU-Hp2G05Q,Top Shelf Lounge,5564 Market St,PA,Philadelphia,19139,"Nightlife, Bars, Lounges",-75.2326259,39.9606936,4,1,12
_8QkK3WwGxNnn54Q1VTTcA,Leneghan's Crusader Inn,7412 Frankford Ave,PA,Philadelphia,19136,"Bars, Nightlife, Chicken Wings, Hotels, Restaurants, Event Planning & Services, Hotels & Travel",-75.0376145,40.0382627,5,1,6
_9x1oSQghxEPuUeb5NPShw,Fez Moroccon Restaurant,620 S 2nd St,PA,Philadelphia,19147,"Bars, Event Planning & Services, Nightlife, Venues & Event Spaces, Restaurants, Hookah Bars, Moroccan",-75.1458802706,39.9405590859,3,1,149
_cIXeeVsxpwzTRj9TKW6-w,Ray's Happy Birthday Bar,1200 E Passyunk Ave,PA,Philadelphia,19147,"Nightlife, Bars, Dive Bars",-75.1584681,39.9340955,3.5,1,142
_f3JQU6IXpGmTLaSqGy79g,BRÜ Craft & Wurst,1318 Chestnut St,PA,Philadelphia,19107,"German, Beer Bar, Food, Bars, Nightlife, Restaurants, Beer, Wine & Spirits, Beer Gardens",-75.1624865435,39.9503152253,3.5,1,538
_fCpxyDgYNULXAUEbLCDHQ,Ultimo Coffee Bar,1900 S 15th St,PA,Philadelphia,19145,"Nightlife, Coffee & Tea, Food, Bars, Beer Bar",-75.1709841544,39.9269992862,3.5,1,53
_hsEJv3KtH5Vwp2b14wCAQ,Cherry Lounge,1201 Race St,PA,Philadelphia,19107,"Restaurants, Steakhouses, Bars, American (New), Nightlife, Breakfast & Brunch, Food",-75.1591747,39.9560366,3,1,11
_k1CIuPkY-uLFm8lABFG8Q,Bonchon Philadelphia,1020 Cherry St,PA,Philadelphia,19107,"Nightlife, Restaurants, Bars, Asian Fusion, Chicken Wings, Korean",-75.15699,39.954502,3.5,1,635
_LOJW0XkOpj4O348GVRDeQ,Zavino,112 S 13th St,PA,Philadelphia,19107,"Italian, Wine Bars, Bars, Mediterranean, Pizza, Restaurants, Nightlife",-75.1621423,39.9499542,4,0,861
_msFUghqBbYNmO8grFJNAQ,Fine Wine & Good Spirits,"Ivy Ridge Shopping Ctr, 7146 Ridge Ave",PA,Philadelphia,19128,"Bars, Wine Bars, Nightlife, Beer, Wine & Spirits, Local Flavor, Food",-75.2323440575,40.044217875,3,1,15
_n539Sga7PCvHQs--a4qkA,Interstate Drafthouse,1235 E Palmer St,PA,Philadelphia,19125,"Tex-Mex, Dive Bars, Bars, Beer, Wine & Spirits, American (New), Restaurants, Gastropubs, Nightlife, Southern, American (Traditional), Beer Bar, Food",-75.128871,39.97199,4,1,264
_OgwyI_0mGs620_ZfKgzbg,Tierra Colombiana Restaurant,4535 N 5th St,PA,Philadelphia,19140,"Latin American, American (New), Caribbean, Dance Clubs, Bars, Restaurants, Cuban, Nightlife",-75.1337987,40.0205736,4,1,415
_PvljXZHQlUmL8SuOXF8ug,New Deck Tavern,3408 Sansom St,PA,Philadelphia,19104,"Irish, Gastropubs, Pubs, American (Traditional), Nightlife, Bars, Restaurants",-75.1926364399,39.9535171,3.5,1,425
_s_51Vmq1LVQnGFSa-KfUw,Alla Spina,1410 Mt Vernon St,PA,Philadelphia,19130,"Breakfast & Brunch, Italian, Bars, Nightlife, American (New), Gastropubs, Restaurants",-75.1618600599,39.9644843888,3.5,0,417
_xSCB2TZ-s6yTeafRnzK1w,Savas,3505 Lancaster Ave,PA,Philadelphia,19104,"Food, Beer, Wine & Spirits, Pizza, Nightlife, American (Traditional), Bars, Italian, Restaurants",-75.1927263,39.9583061,3,1,238
-0M0b-XhtFagyLmsBtOe8w,Paris Wine Bar,2303 Fairmount Ave,PA,Philadelphia,19130,"Bars, Nightlife, Restaurants, French, Wine Bars",-75.1754522324,39.9674385747,3.5,0,18
